"codename","card_codename","set_codename","en_flavor","cn_flavor","illustrator","position","quantity","released_by"
"01102","hadrians_wall","core_set","""He had a bit of an ego, ol' Hadrian. His constructs live up to it though."" -g00ru","“老哈德良他有点自负。不过他的建造物值得赞美。” —精神0袖","Bruno Balixa","102","2","fantasy_flight_games"
"01103","ice_wall","core_set","""I asked for ice as impenetrable as a wall. I can't decide if someone down in R&D has a warped sense of humor or just a very literal mind."" -Liz Campbell, VP Project Security","“我要求防火墙像堵冰墙一样坚固。我不知道是研发中心下面的人有反常的幽默感，还是有一个咬文嚼字的脑袋。” —防卫项目副总裁，莉兹·坎贝尔","Matt Zeilinger","103","3","fantasy_flight_games"
"01104","shadow","core_set","Who knows what evil lurks in the memory diamonds of men? Weyland knows. -unsigned cyber-graffiti","谁知道在人类的记忆宝石中藏有怎样的黑暗？威兰知道。 —未署名的数字涂鸦","Adam S. Doyle","104","3","fantasy_flight_games"
"01105","research_station","core_set","""Jack Weyland built the Beanstalk and transformed the human race forever. I can't wait to see what we're going to do next.""","“杰克·威兰建造了豆茎并永远地改变了人类。我迫不及待地想看我们下一步要做什么。”","Ralph Beisner","105","2","fantasy_flight_games"
"01106","priority_requisition","core_set","""If it isn't in my terminal by six p.m., heads are going to roll!""","“如果下午6点前这玩意还没在我的终端里，头儿们就会发狂的！”","Gong Studios","106","3","fantasy_flight_games"
"01107","private_security_force","core_set","""Expensive? Not when you're protecting a fortune as large as ours.""","“贵？当你像我们一样要保护如此大的财产时就不会这么觉得。”","Mauricio Herrera","107","3","fantasy_flight_games"
"01108","melange_mining_corp","core_set","""The mining bosses are worse than any downstalk crime lords. Tri-Maf, 4K, Yak, I don't care what gangs you got down there. In Heinlein there's just one law: the He3 must flow."" -""Old"" Rick Henry, escaped clone.","“矿业老板比所有下行区犯罪头目还要糟糕。三合党，4K，极道会，我不管你在下行世界遇到过什么帮派。在海因莱因只有一条法律：氦-3必须持续开采。” —逃脱的克隆体，“老”瑞克·亨利","Henning Ludvigsen","108","2","fantasy_flight_games"
"01109","pad_campaign","core_set","It is like the one you just bought, only better.","这很像你刚买的那个，但这个更好。","Alexandra Douglass","109","3","fantasy_flight_games"
"01110","hedge_fund","core_set","Hedge Fund. Noun. An ingenious device by which the rich get richer even while every other poor SOB is losing his shirt. -The Anarch's Dictionary, Volume Who's Counting?","对冲基金。名词。一种巧妙的策略，富人通过它来变得更富，其他贫穷的蠢货们则会输掉内裤。 —反叛者的字典，谁管第几卷","Gong Studios","110","3","fantasy_flight_games"
"01111","enigma","core_set","""Hey, hey! Wake up, man. You were under a long time. What'd you see?""
""I…don't remember.""","“喂，喂！醒醒，伙计。你呆了很长时间了。你看到了什么？”
“我…不记得了。”","Liiga Smilshkalne","111","3","fantasy_flight_games"
"01112","hunter","core_set",".//run/hunter-tr/return=true
client/sec256IPv7->confirm? /y
3926:0HB7:1001:2NB1:1601:7784:ERROR",".//run/hunter-tr/return=true
client/sec256IPv7->确定吗？/是
3926:0HB7:1001:2NB1:1601:7784:ERROR","Christina Davis","112","2","fantasy_flight_games"
"01113","wall_of_static","core_set","""There's nothing worse than seeing that beautiful blue ball of data just out of reach as your connection derezzes. I think they do it just to taunt us."" -Ele ""Smoke"" Scovak","“没有什么比在连接中断前，看到了蓝色美丽的数据球却够不到来得更糟了。我觉得他们就是以此故意嘲讽我们。” —艾丽·“浓烟”·斯科娃","Adam S. Doyle","113","3","fantasy_flight_games"
"21041","exer","council_of_the_crest","""Amateurs feign it as 'random packet loss'. They do this for safety. They do this out of fear. But why should we cower? <em>We</em> will collapse the Corporatocracy, piece by piece! They are not the ones to fear. <em>We</em> are.""
- Freedom Khumalo","","Ed Mattinian","41","3","fantasy_flight_games"
"21042","friday_chip","council_of_the_crest","""It makes every bad thing that you do so much better.""
- g00ru","","Martin de Diego Sádaba","42","3","fantasy_flight_games"
"21043","crypt","council_of_the_crest","The smell of rot strengthens with each step.","","Adam S. Doyle","43","3","fantasy_flight_games"
"21044","corporate_grant","council_of_the_crest","You'd think someone would have noticed a program entitled ""Career Opportunities in Hacking"" earlier.","","PxelSlayer","44","3","fantasy_flight_games"
"21045","no_one_home","council_of_the_crest","""Go away! I'm not here!""","","Alexandr Elichev","45","3","fantasy_flight_games"
"21046","marathon","council_of_the_crest","","","Liiga Smilshkalne","46","3","fantasy_flight_games"
"21047","gbahali","council_of_the_crest","Ripples are all the prey sees before Gbahali swallows it whole.","","Liiga Smilshkalne","47","3","fantasy_flight_games"
"21048","white_hat","council_of_the_crest","","","Ed Mattinian","48","3","fantasy_flight_games"
"21049","kuwinda_k4h1u3","council_of_the_crest","","","Josh Corpuz","49","3","fantasy_flight_games"
"21050","next_sapphire","council_of_the_crest","Every level of protection for all of your security needs.","","Ed Mattinian","50","3","fantasy_flight_games"
"21051","anansi","council_of_the_crest","","","Liiga Smilshkalne","51","3","fantasy_flight_games"
"21052","code_replicator","council_of_the_crest","for (;;)","","Caravan Studio","52","3","fantasy_flight_games"
"21053","reverse_infection","council_of_the_crest","","","Adam S. Doyle","53","3","fantasy_flight_games"
"21054","azmari_edtech_shaping_the_future","council_of_the_crest","","","Emilio Rodríguez","54","3","fantasy_flight_games"
"21055","degree_mill","council_of_the_crest","Master any subject in 30 minutes or less!*
*Azmari EdTech is not responsible for altered memories or reduced temporal lobe functionality. Level of mastery may vary.","","Juan Novelletto","55","3","fantasy_flight_games"
"21056","personalized_portal","council_of_the_crest","""Welcome to Azmari Mail! You have 4,196 unread messages.""","","Kathryn Steele","56","3","fantasy_flight_games"
"21057","armed_intimidation","council_of_the_crest","""The way I see it, you've got two options: die here or die running. I'll enjoy both.""","","Le Vuong","57","3","fantasy_flight_games"
"21058","death_and_taxes","council_of_the_crest","The only certainties.","","Kathryn Steele","58","3","fantasy_flight_games"
"21059","trojan_horse","council_of_the_crest","","","Fei F. Ou","59","3","fantasy_flight_games"
"21060","technoco","council_of_the_crest","","","Caravan Studio","60","3","fantasy_flight_games"
"03001","cerebral_imaging_infinite_frontiers","creation_and_control","The densest information cluster in the galaxy.","银河系中最密集的信息群。","Emilio Rodríguez","1","3","fantasy_flight_games"
"03002","custom_biotics_engineered_for_success","creation_and_control","The Once and Future Android.","永恒不变的安卓。","Emilio Rodríguez","2","3","fantasy_flight_games"
"03003","next_design_guarding_the_net","creation_and_control","","","Emilio Rodríguez","3","3","fantasy_flight_games"
"03004","director_haas_pet_project","creation_and_control","","","Matt Zeilinger","4","3","fantasy_flight_games"
"03005","efficiency_committee","creation_and_control","","","Jason Rumpff","5","3","fantasy_flight_games"
"03006","project_wotan","creation_and_control","","","Daniel Atanasov","6","3","fantasy_flight_games"
"03007","sentinel_defense_program","creation_and_control","""Why limit our best assets to our own servers? The enemy doesn't stay passively at home, waiting for us to come to him. Why should we?"" -Director Haas","“为何要把我们最好的资产局限在我们自己的服务器上？敌人可不会被动地呆在家，等着我们去找他。我们何必呢？” —总裁哈斯","Ed Mattinian","7","3","fantasy_flight_games"
"03008","alix_t4lb07","creation_and_control","The Alix model was based on a successful hedge fund manager but she had a tendency to burn out. Literally.","阿历克斯模型基于一位成功的对冲基金经理，但她有燃尽的倾向。字面意思。","Diana Martinez","8","3","fantasy_flight_games"
"03009","cerebral_overwriter","creation_and_control","","","Ed Mattinian","9","3","fantasy_flight_games"
"03010","director_haas","creation_and_control","","","Matt Zeilinger","10","3","fantasy_flight_games"
"03011","haas_arcology_ai","creation_and_control","","","Aaron Firem","11","3","fantasy_flight_games"
"03012","thomas_haas","creation_and_control","Thomas, the director's son, has been carefully groomed to inherit the corporation since before he was born. His favorite pastime appears to be disappointing his mother.","托马斯，总裁的儿子，从他出生前就被精心培养以备继承公司。而他最中意的消遣似乎就是让他母亲失望。","Matt Zeilinger","12","3","fantasy_flight_games"
"03013","bioroid_efficiency_research","creation_and_control","","","Emilio Rodríguez","13","3","fantasy_flight_games"
"03014","successful_demonstration","creation_and_control","Success is defined by the safety of data, not the safety of potential intruders.","成功是由数据安全来定义的，而非潜在入侵者的安全。","Irys Ching","14","3","fantasy_flight_games"
"03015","heimdall_2_0","creation_and_control","The realm beyond is still forbidden.","至高的国度依然禁止通行。","John Derek Murphy","15","3","fantasy_flight_games"
"03016","howler","creation_and_control","""Yeah. It made a loud noise, I got scared, and I jacked out. I still think I made the right decision."" -g00ru","“没错，它发出巨大的吼声。我被吓到了，然后退出。我依然觉得我做了正确的决定。” —精神0袖","Lili Ibrahim","16","3","fantasy_flight_games"
"03017","ichi_2_0","creation_and_control","The game has changed.","游戏变了。","Liiga Smilshkalne","17","3","fantasy_flight_games"
"03018","minelayer","creation_and_control","Sometimes you just have to guess.","有时候你就得猜。","Adam S. Doyle","18","3","fantasy_flight_games"
"03019","viktor_2_0","creation_and_control","","","Daniel Atanasov","19","3","fantasy_flight_games"
"03020","zed_1_0","creation_and_control","A mind of meat! How does it work?","血肉组成的头脑！它是怎么运作的？","Daniel Atanasov","20","3","fantasy_flight_games"
"03021","awakening_center","creation_and_control","","","Diana Martinez","21","3","fantasy_flight_games"
"03022","tyrs_hand","creation_and_control","","","John Derek Murphy","22","3","fantasy_flight_games"
"03023","gila_hands_arcology","creation_and_control","Sell the dream-show them how very much they want to be rich, and they'll convince themselves that someday, they will be. How can they revolt against their future selves? -the New Gospel of Wealth","推销梦想—向他们展示他们多么想变得富有，于是他们就会说服自己总有一天，梦想会成真。他们怎么会厌恶将来的自己呢？ —《财富之新福音书》","Emilio Rodríguez","23","3","fantasy_flight_games"
"03024","levy_university","creation_and_control","""Just another factory, making good corporate drones for the machine. Their CS department is the best in the world, though."" -g00ru","“又一个工厂，为机器制造出良好的公司苦力。虽然，他们的计算机科学系是世界上最好的。” —精神0袖","Henning Ludvigsen","24","3","fantasy_flight_games"
"03025","server_diagnostics","creation_and_control","""There's only a 5% chance this could result in a general failure.""","“这只有5%的几率会导致通用故障。”","Anders Finer","25","3","fantasy_flight_games"
"03026","bastion","creation_and_control","The principle behind ice is not to keep everyone out, but to let only some people in. This ice denies entry on all but a select few ports that might change with the time of day or picosecond of connection. If you don't know what port to use, you're not getting in. Period.","防火墙的基本原则不是挡住所有人，而是只让一些人进来。这个防火墙隔绝了一切，除了一些特定的、会随着一天的时刻或皮秒间的连接而变换的接口。如果你不知道使用哪个接口，你就不能进入。完毕。","Ed Mattinian","26","3","fantasy_flight_games"
"03027","datapike","creation_and_control","""Cheap, off-the-shelf data protection. Cheap for them, that is. Not for us."" -Ele ""Smoke"" Scovak","“廉价而现成的数据保护方法。廉价是相对他们而言，就是说，并不是对我们。” —艾丽·“浓烟”·斯科娃","Aaron Firem","27","3","fantasy_flight_games"
"03028","rielle_kit_peddler_transhuman","creation_and_control","""I was not; I was; I am not; I am all.""","“我不曾存在；我曾存在；我不再存在；我即存在。”","Matt Zeilinger","28","3","fantasy_flight_games"
"03029","the_professor_keeper_of_knowledge","creation_and_control","""New technology destroys the old.""","“新技术淘汰旧技术。”","Matt Zeilinger","29","3","fantasy_flight_games"
"03030","exile_streethawk","creation_and_control","""I can make that work.""","“我可以解决。”","Matt Zeilinger","30","3","fantasy_flight_games"
"03031","escher","creation_and_control","","","Shawn Ye Zhongyi","31","3","fantasy_flight_games"
"03032","exploratory_romp","creation_and_control","Wheeeee!","喂哦～～！","Matt Zeilinger","32","3","fantasy_flight_games"
"03033","freelance_coding_contract","creation_and_control","""Idealism's great, but it don't keep you in soybeef tacos."" -Matt ""TheMerc"" Thomas","“理想本身很棒，但不能让你一直有烧牛肉炸玉米卷。” —马特·“佣兵”·托马斯","Jason Rumpff","33","3","fantasy_flight_games"
"03034","scavenge","creation_and_control","One man's trash.","彼之所弃。","Matt Zeilinger","34","3","fantasy_flight_games"
"03035","levy_ar_lab_access","creation_and_control","Spend too much time in the AR Lab and someone might notice. Unless you're the head of it, that is.","在前景实验室呆太久会引人注意。就是说，除非你是主任。","Lili Ibrahim","35","3","fantasy_flight_games"
"03036","monolith","creation_and_control","","","Emilio Rodríguez","36","3","fantasy_flight_games"
"03037","feedback_filter","creation_and_control","It still hurts, a bit, the first time. The second time, you feel nothing at all. But don't push your luck.","第一次，还是会有些疼。第二次，你会毫无感觉。不过别再碰运气。","Lili Ibrahim","37","3","fantasy_flight_games"
"03038","clone_chip","creation_and_control","It is good practice to backup the backup.","给备份做备份是个好习惯。","Christina Davis","38","3","fantasy_flight_games"
"03039","omni_drive","creation_and_control","","","Bruno Balixa","39","3","fantasy_flight_games"
"03040","atman","creation_and_control","We are shaped by our thoughts; we become what we think.","我们的想法塑造我们；我们变成我们的想法。","Diana Martinez","40","3","fantasy_flight_games"
"03041","cloak","creation_and_control","""No line that they lay could catch a shadow on the wall…""","“它们设下的丝线，无法捕捉墙上的暗影…”","Adam S. Doyle","41","3","fantasy_flight_games"
"03042","dagger","creation_and_control","""…and once the shadow rises, the curtain shall fall."" -revenant","“…而当暗影升起，则帷幕将落。” —亡魂","Adam S. Doyle","42","3","fantasy_flight_games"
"03043","chakana","creation_and_control","","","Adam S. Doyle","43","3","fantasy_flight_games"
"03044","cyber_cypher","creation_and_control","","","Ed Mattinian","44","3","fantasy_flight_games"
"03045","paricia","creation_and_control","Perfect for flooding servers.","淹没服务器的完美之选。","Ed Mattinian","45","3","fantasy_flight_games"
"03046","self_modifying_code","creation_and_control","""Make sure you tell the source code which executable you want it to compile into. One time I left my rig for a couple of minutes, and when I came back all of my files had been replaced with cat vids."" -The Professor","“确保你跟源代码交代过，你希望它编译成怎样的可执行文件。有次我离开设备几分钟，回来时所有文件已被替换成了小猫的视频。” —教授","Lili Ibrahim","46","3","fantasy_flight_games"
"03047","sahasrara","creation_and_control","Out there, the thousand-petaled lotus symbolizes detachment from illusion. In here, it is the birthplace of a higher consciousness. Something infinitely pure.","在那里，千叶莲花象征超脱幻象。在这里，它是更高阶意识的起源地。它是无限纯净。","Lili Ibrahim","47","3","fantasy_flight_games"
"03048","inti","creation_and_control","""The Incans believed that the sun god resided in the Haman Pacha, the upper realm of the cosmos. They just didn't know that the Haman Pacha hadn't been discovered yet."" -The Professor","“印加人相信太阳神居住在哈南帕查，宇宙中的上层国度。他们只是不知道哈南帕查尚未被发现。” —教授","Adam S. Doyle","48","3","fantasy_flight_games"
"03049","professional_contacts","creation_and_control","Sometimes it doesn't matter how expensive your rig is, or how many credits are in your account, or even your skill as a runner. Most of the time, a simple handshake and a name are all you need.","有时你的装备如何昂贵，你的账户中如何有钱，甚至你作为潜袭者的技能如何都不重要。通常，你只需简单地握个手，报上大名。","Matt Zeilinger","49","3","fantasy_flight_games"
"03050","borrowed_satellite","creation_and_control","Some people have their own satellite receiver. Others have their own satellite.","有些人有他们自己的卫星接收器。还有些有他们自己的卫星。","Trudi Castle","50","3","fantasy_flight_games"
"03051","ice_analyzer","creation_and_control","""If you know the source code you can write to beat it, or just rejigger it a little and make it yours. That works, too."" -Exile","“如果你了解源代码，你可以编码并击败它，或者通过微调来变为己用。这也是可行的。” —流亡者","Ed Mattinian","51","3","fantasy_flight_games"
"03052","dirty_laundry","creation_and_control","The data was better than she could have ever imagined. This Santiago fellow really knew what he was doing. She began to imagine the havoc she could wreak at the upcoming charity dinner…","数据比她想的还要好。这个叫圣地亚哥的家伙果然明白怎么做。她开始想象自己在接下来的慈善晚宴上的大肆破坏…","Christina Davis","52","3","fantasy_flight_games"
"03053","daily_casts","creation_and_control","""We say 'cyber-terrorist', they hear 'underground celebrity.'"" -Michael Muhama, professional expert","“我们说'数字罪犯'，他们听到'非法明星'。” —专业人士，迈克尔·穆哈马","Matt Zeilinger","53","3","fantasy_flight_games"
"03054","same_old_thing","creation_and_control","Just me, a cup of YucaBean, and last night's Hong Kong Trunk sniffed packets. I call that a good morning.","只有我，一杯雅豆咖啡以及昨晚从香港主信道上截获的数据包。我称之为一个美好的早晨。","Diana Martinez","54","3","fantasy_flight_games"
"03055","the_source","creation_and_control","A dangerous game, but well worth playing.","一场危险的游戏，但你值得参与。","Matt Zeilinger","55","3","fantasy_flight_games"
"12101","mining_accident","crimson_dust","","","Ed Mattinian","101","3","fantasy_flight_games"
"12102","respirocytes","crimson_dust","","","Alexandr Elichev","102","3","fantasy_flight_games"
"12103","salvaged_vanadis_armory","crimson_dust","Vanadis, a Martian arms manufacturer, was among the first sites targeted from orbit during the war.","","Michał Miłkowski","103","3","fantasy_flight_games"
"12104","aumakua","crimson_dust","","","Adam S. Doyle","104","3","fantasy_flight_games"
"12105","caldera","crimson_dust","The electric pulses ripped through the Net, backtracking Los's location. When they hit his defenses, they spent themselves against the slope.","","Yog Joshi","105","3","fantasy_flight_games"
"12106","dianas_hunt","crimson_dust","","","Ethan Patrick Harris","106","3","fantasy_flight_games"
"12107","reshape","crimson_dust","""I wield the power cosmic—a galactic force that can reshape the Net!"" -S'onge Galaxy","","Alexander Tooth","107","3","fantasy_flight_games"
"12108","dummy_box","crimson_dust","""Aptly named."" -g00ru","","A. Jones","108","3","fantasy_flight_games"
"12109","corporate_defector","crimson_dust","He was suddenly very motivated to pass on confidential information.","","Caroline Gariba","109","3","fantasy_flight_games"
"12110","cfc_excavation_contract","crimson_dust","""Sure, we also use human labor—they are more easily replaced."" -Emil Merk","","Mark Molnar","110","3","fantasy_flight_games"
"12111","mca_austerity_policy","crimson_dust","","","Pavel Kolomeyets","111","3","fantasy_flight_games"
"12112","restore","crimson_dust","","","Dmitry Prosvirnin","112","3","fantasy_flight_games"
"12113","breached_dome","crimson_dust","","","Nasrul Hakim","113","3","fantasy_flight_games"
"12114","sand_storm","crimson_dust","By the time the data storm passed, the landscape was transformed, and she was hopelessly lost.","","Liiga Smilshkalne","114","3","fantasy_flight_games"
"12115","ar_enhanced_security","crimson_dust","Only NBN's sec teams were outfitted with systems that could read data flows and see into the Net.","","Martin de Diego Sádaba","115","3","fantasy_flight_games"
"12116","rolling_brownout","crimson_dust","","","Ed Mattinian","116","3","fantasy_flight_games"
"12117","threat_level_alpha","crimson_dust","","","Kate Laird","117","3","fantasy_flight_games"
"12118","priority_construction","crimson_dust","","","Pavel Kolomeyets","118","3","fantasy_flight_games"
"12119","fractal_threat_matrix","crimson_dust","""I embedded recursive data loops into the go-no-go subroutines of every piece of ice."" -Anson Rose","","Caroline Elizabeth Huss","119","3","fantasy_flight_games"
"12120","conundrum","crimson_dust","A ghost image of it could be made out in the static of his BMI. He hoped never to run across the real thing again.","","Ethan Patrick Harris","120","3","fantasy_flight_games"
"02041","nerve_agent","cyber_exodus","","","Ed Mattinian","41","3","fantasy_flight_games"
"02042","joshua_b","cyber_exodus","""My enhancements are guaranteed for life, and well worth the risk.""","“我的强化手艺保证有效，带来的风险微不足道。”","Jen Zee","42","3","fantasy_flight_games"
"02043","emergency_shutdown","cyber_exodus","""Think of it as a virtual shock collar for punishing corporate pets."" -Andromeda","“把它想象成一个虚拟的电击项圈，用来管教公司的宠物。” —安德洛墨达","Adam S. Doyle","43","3","fantasy_flight_games"
"02044","muresh_bodysuit","cyber_exodus","Light and form-fitting, its like bulletproof skin.","轻便又贴身，就像防弹的皮肤。","Gong Studios","44","3","fantasy_flight_games"
"02045","snitch","cyber_exodus","""A snitch is a girl's best friend."" -Andromeda","“告密者是女孩最好的朋友。 ” —安德洛墨达","Mashuri","45","3","fantasy_flight_games"
"02046","chaos_theory_wunderkind","cyber_exodus","""Have you met Dinosaurus?""","“你见过我的小神龙吗？”","Matt Zeilinger","46","3","fantasy_flight_games"
"02047","test_run","cyber_exodus","","","Eko Puteh","47","3","fantasy_flight_games"
"02048","dinosaurus","cyber_exodus","","","Matt Zeilinger","48","3","fantasy_flight_games"
"02049","personal_workshop","cyber_exodus","","","Fabien Jacques","49","3","fantasy_flight_games"
"02050","public_sympathy","cyber_exodus","""I'm just thankful that the brain damage is reversible. With the support of the city of New Angeles, I hope to be on my feet and back to practicing my art very soon."" -Kate ""Mac"" McCaffrey","“我很庆幸脑部伤害是可以恢复的。在新洛杉矶市民们的支持下，我希望能早日康复，再度开展艺术创作。” —凯特·“麦克”·麦卡弗瑞","Mauricio Herrera","50","3","fantasy_flight_games"
"02051","project_vitruvius","cyber_exodus","","","Emilio Rodríguez","51","3","fantasy_flight_games"
"02052","viper","cyber_exodus","Dont Tread On Me","别踩到我。","Bruno Balixa","52","3","fantasy_flight_games"
"02053","edge_of_world","cyber_exodus","","","Ed Mattinian","53","3","fantasy_flight_games"
"02054","sunset","cyber_exodus","""You haven't run until you've seen the cybersun drift down behind the Great City, the space around you rippling with colors you can't imagine."" -Kate ""Mac"" McCaffrey","“你没见过数字太阳沉落大都市背后的美景，就不算潜袭过。你周围的空间会荡漾着你无法想象的色彩。” —凯特·“麦克”·麦卡弗瑞","Adam S. Doyle","54","3","fantasy_flight_games"
"02055","marked_accounts","cyber_exodus","","","Mauricio Herrera","55","3","fantasy_flight_games"
"02056","pop_up_window","cyber_exodus","""Try to close it. Go on. See what it does."" -Chaos Theory","“试试关掉它。去啊，看看它会做什么。” —混沌希尔瑞","Christina Davis","56","3","fantasy_flight_games"
"02057","woodcutter","cyber_exodus","Chop chop.","咚，咚。","Mike Nesbitt","57","3","fantasy_flight_games"
"02058","commercialization","cyber_exodus","The Division of Fringe Applications' revenue increased 37% year-over-year after corporate discovered that most of their projects made really fun toys.","就在公司发现边缘应用的项目大部分都生产出了很有趣的玩具之后，其销售额年同比增长了37%。","Matt Zeilinger","58","3","fantasy_flight_games"
"02059","private_contracts","cyber_exodus","","","Mauricio Herrera","59","3","fantasy_flight_games"
"02060","chimera","cyber_exodus","Three heads. One big headache.","三个头。一个难题。","Isuardi Therianto","60","3","fantasy_flight_games"
"12001","pushing_the_envelope","daedalus_complex","""Hitting them when they are weakest sometimes means acting before you want to."" -Alice Merchant","“在对手最弱的时候袭击，有时意味着在你想出手之前就行动。” —爱丽丝·默切特","Adam S. Doyle","1","3","fantasy_flight_games"
"12002","maw","daedalus_complex","","","Martin de Diego Sádaba","2","3","fantasy_flight_games"
"12003","the_archivist","daedalus_complex","The Archivist tracks all the clans and their members, and official dealings clans have with the various corps. Half law clerk and half historian, he wields a tremendous amount of power doing a job no one else wants, but none can do without.","档案员追踪着所有部落及其成员，包括部落与不同公司进行的正式交易。作为法律职员与历史学家的结合，他行使着强大的权力，来做这份其他人都不愿做，但却不可或缺的工作。","Matt Zeilinger","3","3","fantasy_flight_games"
"12004","exploit","daedalus_complex","1) Find the weakness.
2) Exploit the weakness.
3) Repeat.","1) 找出弱点。
2) 利用弱点。
3) 再来一遍。","Nasrul Hakim","4","3","fantasy_flight_games"
"12005","spot_the_prey","daedalus_complex","""So, yeah, I just reverse engineered a tracer, and then built it back up with some new lines of code. Pretty stellar."" -Los","“所以，没错，我只是反向制造了一个追踪者，构建好然后将这几行新代码装回去。真是精彩。” —洛斯","Camille Kuo","5","3","fantasy_flight_games"
"12006","bio_modeled_network","daedalus_complex","""You created a distributed AI replica of yourself and projected it into the network to run for you!?""","“你创建了一个分布式人工智能作为自己的复制品，然后投到网上，让它为你潜袭？！”","Jarreau Wimberly","6","3","fantasy_flight_games"
"12007","network_exchange","daedalus_complex","""To beat cautious sysops, you've got to get creative. Commandeering Network systems is like using their own strengths against them."" -Kabonesa Wu","“要击败谨慎的管理员，你得有创意。抢占网络系统就好比用他们自己的力量来对付他们。” —卡波尼萨·吴","Alexandr Elichev","7","3","fantasy_flight_games"
"12008","mad_dash","daedalus_complex","","","Alexandr Elichev","8","3","fantasy_flight_games"
"12009","next_wave_2","daedalus_complex","""The newest electronic-warfare rollout from NEXT Design has us sysops drooling."" -Mason Bellamy","“次级方案最新作品的电子战首秀让我们这些管理员垂涎欲滴。” —梅森·贝拉米","Shawn Ye Zhongyi","9","3","fantasy_flight_games"
"12010","zed_2_0","daedalus_complex","""Dismantle. Dissect. Is there really a difference?""","“拆卸机器。解剖机体。有什么区别吗？”","Adam S. Doyle","10","3","fantasy_flight_games"
"12011","defense_construct","daedalus_complex","","","Pavel Kolomeyets","11","3","fantasy_flight_games"
"12012","synth_dna_modification","daedalus_complex","","","Liiga Smilshkalne","12","3","fantasy_flight_games"
"12013","kakugo","daedalus_complex","""The ultimate aim of martial arts is not having to use them."" - Miyamoto Musashi","“武艺的奥义之极是无需动用。” —宫本武藏","Adam S. Doyle","13","3","fantasy_flight_games"
"12014","net_analytics","daedalus_complex","","","Mariusz Siergiejew","14","3","fantasy_flight_games"
"12015","sync_bre","daedalus_complex","""'What does BRE stand for?' Have you seen its Net presence?"" -Bernice Mai","“'BRE是什么的缩写？'你见过它的网络形态吗？” —柏妮丝·麦","Liiga Smilshkalne","15","3","fantasy_flight_games"
"12016","jemison_astronautics_sacrifice_audacity_success","daedalus_complex","","","Emilio Rodríguez","16","3","fantasy_flight_games"
"12017","quarantine_system","daedalus_complex","","","Kathryn Steele","17","3","fantasy_flight_games"
"12018","oberth_protocol","daedalus_complex","","","Pavel Kolomeyets","18","3","fantasy_flight_games"
"12019","khondi_plaza","daedalus_complex","Senate staffers and clerks of the MCA can be seen thronging Khondi Plaza during break times.","你会看到火殖地当局的参议院职员与文员在休息时间涌向孔迪广场。","Maciej Rebisz","19","3","fantasy_flight_games"
"12020","signal_jamming","daedalus_complex","","","JuanManuel Tumburus","20","3","fantasy_flight_games"
"09001","sync_everything_everywhere","data_and_destiny","","","Maciej Rebisz","1","3","fantasy_flight_games"
"09002","new_angeles_sol_your_news","data_and_destiny","Nothing but the Truth.","真相至上。","Maciej Rebisz","2","3","fantasy_flight_games"
"09003","spark_agency_worldswide_reach","data_and_destiny","We're ready to start the fire.","星火欲燎原。","Emilio Rodríguez","3","3","fantasy_flight_games"
"09004","15_minutes","data_and_destiny","You had your shot, and you blew it.","机会已至，君未成事。","Hannah Christenson","4","3","fantasy_flight_games"
"09005","improved_tracers","data_and_destiny","""The trick isn't software, it's hardware. Cyberspace is a collection of physical machines. If we control the machines, we control it all."" -KR Kane, ""Our Future""","“关键之处并非软件，而是硬件。赛博空间是物理机的集合。只要我们控制了机器，我们就控制了一切。” —基·伦·凯恩，《我们的未来》","Adam S. Doyle","5","3","fantasy_flight_games"
"09006","rebranding_team","data_and_destiny","""Nobody ever lost a dollar by underestimating the taste of the public."" -Phineas Taylor Barnum","“从未有人因低估大众品味而蒙受经济损失。” —菲尼亚斯·泰勒·巴纳姆","Tiffany Turrill","6","3","fantasy_flight_games"
"09007","quantum_predictive_model","data_and_destiny","""Yes <strong>and</strong> No.""","“是<strong>和</strong>否。”","Liiga Smilshkalne","7","3","fantasy_flight_games"
"09008","lily_lockwell","data_and_destiny","""Live from New Angeles, this is Lily Lockwell.""","“新洛杉矶现场，我是莉莉·洛克威尔。”","Matt Zeilinger","8","3","fantasy_flight_games"
"09009","news_team","data_and_destiny","","","Jessada Sutthi","9","3","fantasy_flight_games"
"09010","shannon_claire","data_and_destiny","No one can bury a story better.","没有谁能将事实更好地埋藏。","Rebecca Sorge","10","3","fantasy_flight_games"
"09011","victoria_jenkins","data_and_destiny","","","Matt Zeilinger","11","3","fantasy_flight_games"
"09012","reality_threedee","data_and_destiny","""They're gonna try and make you a star. Whether you want it or not."" -MaxX","“他们会试着让你成为明星。不管你乐不乐意。” —麦斯X","Kate Laird","12","3","fantasy_flight_games"
"09013","archangel","data_and_destiny","","","Liiga Smilshkalne","13","3","fantasy_flight_games"
"09014","news_hound","data_and_destiny","""Most reporting these days can be done by AI. We just need the talent for the name recognition.""","“如今，大部分报告可交由人工智能来处理。我们只需要名称识别方面的天才。”","Darren Waud","14","3","fantasy_flight_games"
